,C,HW,K,RS
518,256,26,16,11
519,256,26,16,7
520,256,26,32,3
521,256,26,32,5
522,256,26,32,1
523,256,26,32,11
524,256,26,32,7
525,256,26,64,3
526,256,26,64,5
527,256,26,64,1
528,256,26,64,11
529,256,26,64,7
530,256,26,384,3
531,256,26,384,5
532,256,26,384,1
533,256,26,384,11
534,256,26,384,7
535,256,26,256,3
536,256,26,256,5
537,256,26,256,1
538,256,26,256,11
539,256,26,256,7
540,256,26,128,3
541,256,26,128,5
542,256,26,128,1
543,256,26,128,11
544,256,26,128,7
545,256,26,255,3
546,256,26,255,5
547,256,26,255,1
548,256,26,255,11
549,256,26,255,7
550,256,26,1024,3
551,256,26,1024,5
552,256,26,1024,1
553,256,26,1024,11
554,256,26,1024,7
555,256,26,96,3
556,256,26,96,5
557,256,26,96,1
558,256,26,96,11
559,256,26,96,7
560,256,26,6,3
561,256,26,6,5
562,256,26,6,1
563,256,26,6,11
564,256,26,6,7
565,256,26,28,3
566,256,26,28,5
567,256,26,28,1
568,256,26,28,11
569,256,26,28,7
570,256,26,192,3
571,256,26,192,5
572,256,26,192,1
573,256,26,192,11
574,256,26,192,7
575,256,26,9,3
576,256,26,9,5
577,256,26,9,1
578,256,26,9,11
579,256,26,9,7
580,256,26,12,3
581,256,26,12,5
582,256,26,12,1
583,256,26,12,11
584,256,26,12,7
585,256,26,56,3
586,256,26,56,5
587,256,26,56,1
588,256,26,56,11
589,256,26,56,7
590,256,26,3,3
591,256,26,3,5
592,256,26,3,1
593,256,26,3,11
594,256,26,3,7
595,256,28,512,3
596,256,28,512,5
597,256,28,512,1
598,256,28,512,11
599,256,28,512,7
600,256,28,16,3
601,256,28,16,5
602,256,28,16,1
603,256,28,16,11
604,256,28,16,7
605,256,28,32,3
606,256,28,32,5
607,256,28,32,1
608,256,28,32,11
609,256,28,32,7
610,256,28,64,3
611,256,28,64,5
612,256,28,64,1
613,256,28,64,11
614,256,28,64,7
615,256,28,384,3
616,256,28,384,5
617,256,28,384,1
618,256,28,384,11
619,256,28,384,7
620,256,28,256,3
621,256,28,256,5
622,256,28,256,1
623,256,28,256,11
624,256,28,256,7
625,256,28,128,3
626,256,28,128,5
627,256,28,128,1
628,256,28,128,11
629,256,28,128,7
630,256,28,255,3
631,256,28,255,5
632,256,28,255,1
633,256,28,255,11
634,256,28,255,7
635,256,28,1024,3
636,256,28,1024,5
637,256,28,1024,1
638,256,28,1024,11
639,256,28,1024,7
640,256,28,96,3
641,256,28,96,5
642,256,28,96,1
643,256,28,96,11
644,256,28,96,7
645,256,28,6,3
646,256,28,6,5
647,256,28,6,1
648,256,28,6,11
649,256,28,6,7
650,256,28,28,3
651,256,28,28,5
652,256,28,28,1
653,256,28,28,11
654,256,28,28,7
655,256,28,192,3
656,256,28,192,5
657,256,28,192,1
658,256,28,192,11
659,256,28,192,7
660,256,28,9,3
661,256,28,9,5
662,256,28,9,1
663,256,28,9,11
664,256,28,9,7
665,256,28,12,3
666,256,28,12,5
667,256,28,12,1
668,256,28,12,11
669,256,28,12,7
670,256,28,56,3
671,256,28,56,5
672,256,28,56,1
673,256,28,56,11
674,256,28,56,7
675,256,28,3,3
676,256,28,3,5
677,256,28,3,1
678,256,28,3,11
679,256,28,3,7
680,256,32,512,3
681,256,32,512,5
682,256,32,512,1
683,256,32,512,11
684,256,32,512,7
685,256,32,16,3
686,256,32,16,5
687,256,32,16,1
688,256,32,16,11
689,256,32,16,7
690,256,32,32,3
691,256,32,32,5
692,256,32,32,1
693,256,32,32,11
694,256,32,32,7
695,256,32,64,3
696,256,32,64,5
697,256,32,64,1
698,256,32,64,11
699,256,32,64,7
700,256,32,384,3
701,256,32,384,5
702,256,32,384,1
703,256,32,384,11
704,256,32,384,7
705,256,32,256,3
706,256,32,256,5
707,256,32,256,1
708,256,32,256,11
709,256,32,256,7
710,256,32,128,3
711,256,32,128,5
712,256,32,128,1
713,256,32,128,11
714,256,32,128,7
715,256,32,255,3
716,256,32,255,5
717,256,32,255,1
718,256,32,255,11
719,256,32,255,7
720,256,32,1024,3
721,256,32,1024,5
